YEAR, INVENTION, INVENTOR, SUMMARY OF INVENTION
1700, Piano Key Mechanism, Bartolomeo Cristofori, Hammer mechanism in stringed instruments leading to piano invention.
1701, Seed Drill, Jethro Tull, Revolutionised agriculture by planting seeds at consistent depths.
1702, Turnip-Rooted Chervil Cultivation, Unknown, Enhanced crop rotation and food availability.
1703, Barometer Development, Evangelista Torricelli, Improved precision for measuring atmospheric pressure.
1704, Newton's Reflecting Telescope, Isaac Newton, Allowed astronomers clearer and magnified celestial views.
1705, Steam Engine (Early Development), Thomas Newcomen, Pioneered steam technology for pumping water.
1706, Bifocal Lenses, Benjamin Franklin, Combined lenses for near and far vision in one frame.
1707, Longitude Act, British Parliament, Spurred innovation in navigational tools.
1708, Mercury Thermometer, Gabriel Fahrenheit, Introduced a more consistent temperature measuring device.
1709, Piano (Fortepiano), Bartolomeo Cristofori, Provided dynamic expression in music.
1710, Woodworking Lathe (Improved), Unknown, Advanced shaping and carving efficiency.
1711, Steam-Driven Pump, Thomas Newcomen, Engineered for use in mining operations.
1712, Atmospheric Steam Engine, Thomas Newcomen, First practical steam engine for pumping water out of mines.
1713, Fire Extinguisher (Prototype), Ambrose Godfrey, Early chemical fire suppression tool.
1714, Mercury Barometer, Daniel Gabriel Fahrenheit, Enhanced weather prediction accuracy.
1715, Sextant, John Hadley, Revolutionised maritime navigation.
1716, Diving Bell, Edmond Halley, Allowed longer underwater exploration.
1717, Mechanical Loom, Unknown, Advanced textile production methods.
1718, Wheel Cylinder Locks, Robert Barron, Enhanced security mechanisms.
1719, Industrial Carding Machine, Lewis Paul, Simplified fibre preparation in textiles.
1720, Marine Chronometer, John Harrison, Precise timekeeping at sea.
1721, Zinc Smelting Process, William Champion, Innovated metal extraction techniques.
1722, Light Microscope (Improved), Anton van Leeuwenhoek, Enhanced cellular observation.
1723, Fire Sprinkler System, Ambrose Godfrey, Provided automatic fire suppression.
1724, Electrostatic Generator, Stephen Gray, Demonstrated principles of electricity.
1725, Steel Frame Construction, Unknown, Laid groundwork for skyscraper engineering.
1726, Water Jet Loom, Unknown, Advanced weaving technology.
1727, Quartz Clock (Theory), George Graham, Improved accuracy of timekeeping devices.
1728, Gas Illumination, William Murdoch, Provided energy-efficient lighting.
1729, Artificial Reef Construction, Unknown, Enhanced marine biodiversity.
1730, Air-Pump Innovation, Stephen Hales, Advanced study of gases.
1731, Marine Diving Suit, John Lethbridge, Allowed human underwater movement.
1732, Franklin Stove, Benjamin Franklin, Enhanced home heating efficiency.
1733, Flying Shuttle, John Kay, Improved weaving speed and productivity.
1734, Electroplating, Luigi Galvani, Enabled metal coating for protection and aesthetics.
1735, Anchor Escapement (Clock), John Harrison, Increased precision in clocks.
1736, Perpetual Calendar, Unknown, Provided accurate date tracking.
1737, Drainage Pipe Innovation, Unknown, Advanced urban sanitation.
1738, Soda Water, William Brownrigg, Introduced artificially carbonated beverages.
1739, Condensing Steam Engine, James Watt, Made steam engines more efficient.
1740, Mercury Vapor Lamp (Concept), Francis Hauksbee, Early precursor to electric lighting.
